External Id,Internal Id,Agreement,Created From,Created From Line Key,Price Level,Customer,Item Internal Id,Item, Quantity,Rate,Amount,Billing Frequency,Start Date,End Date,Next Renewal Date,Next Billing Date,Status,Agreement Type,Usage Group,Price Type,Required Minimum
10001001,,501,,,,Abrahams LLP,367,Entity Management Platform Subscription,200,9.5,1900,Quarterly ,01/14/2021,01/13/2024,,,Active,Subscription,,,
10001002,,501,,,,Abrahams LLP,167,Virtual Minute Book,1,0,0,Quarterly ,01/14/2021,01/13/2024,,,Active,Subscription,,,
10001003,,501,,,,Abrahams LLP,166,Software Updates,1,0,0,Quarterly ,01/14/2021,01/13/2024,,,Active,Subscription,,,
10001004,,501,,,,Abrahams LLP,169,e-Signature,1,0,0,Quarterly ,01/14/2021,01/13/2024,,,Active,Subscription,,,
10001005,,502,,,,ACCO Brands Corporation,519,Enterprise Package Subscription for 2021,1,9998,9998,Annually,09/01/2021,12/31/2024,,,Active,Subscription,,,
10001006,,502,,,,ACCO Brands Corporation,386,Enterprise Package Annual Subscription,1,29995,29995,Annually,09/01/2021,12/31/2024,,,Active,Subscription,,,
10001007,,502,,,,ACCO Brands Corporation,381,Per Entity Fee – Athennian Application - Up to 250,104,75,7800,Annually,09/01/2021,12/31/2024,,,Active,Subscription,,,
10001008,,502,,,,ACCO Brands Corporation,381,Per Entity Fee – Athennian Application - Up to 250,104,75,7800,Annually,09/01/2021,12/31/2024,,,Active,Subscription,,,
10001009,,503,,,,Achaean Financial,383,Recurring Discount: Subscription Package,1,0,-500,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001010,,503,,,,Achaean Financial,584,Entity Management Platform Subscription (up to 10 entities),1,1000,1000,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001011,,503,,,,Achaean Financial,169,e-Signature,1,0,0,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001012,,503,,,,Achaean Financial,162,Enterprise Integration Package,1,1000,1000,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001013,,503,,,,Achaean Financial,166,Software Updates,1,0,0,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001014,,503,,,,Achaean Financial,167,Virtual Minute Book,1,0,0,Annually,05/08/2020,05/07/2023,,,Active,Subscription,,,
10001015,,504,,,,Aecon Construction Group Inc.,386,Enterprise Package Annual Subscription,1,29995,29995,Annually,01/26/2022,01/25/2025,,,Active,Subscription,,,
10001016,,504,,,,Aecon Construction Group Inc.,381,Per Entity Fee – Athennian Application - Up to 250,140,60,8400,Annually,01/26/2022,01/25/2025,,,Active,Subscription,,,
10001017,,504,,,,Aecon Construction Group Inc.,521,Recurring Discount: Entity Fee,140,0,-4398.8,Annually,01/26/2022,01/25/2025,,,Active,Subscription,,,
10001018,,505,,,,Aedn,522,Recurring Discount - AER Fee,215,0,-11395,Annually,07/15/2021,07/14/2031,,,Active,Subscription,,,
10001019,,505,,,,Aedn,523,AER Per Entity Fee – Up to 215,215,60,12900,Annually,07/15/2021,07/14/2031,,,Active,Subscription,,,
